,loss,accuracy,val_loss,val_accuracy,lr
0,0.32624194025993347,0.8603541851043701,0.2472987323999405,0.8984375,9.999999747378752e-06
1,0.2400783896446228,0.9041736125946045,0.2030767798423767,0.9210625290870667,9.999999747378752e-06
2,0.2044209986925125,0.9217291474342346,0.21239914000034332,0.9125624895095825,9.999999747378752e-06
3,0.1843743771314621,0.9297986030578613,0.1796690970659256,0.9309375286102295,9.999999747378752e-06
4,0.16940437257289886,0.9363194704055786,0.1653866171836853,0.9383124709129333,9.999999747378752e-06
5,0.1549615114927292,0.9421250224113464,0.1732446402311325,0.9365624785423279,9.999999747378752e-06
6,0.1449873447418213,0.9469513893127441,0.17374348640441895,0.9308124780654907,9.999999747378752e-06
7,0.13502734899520874,0.9508749842643738,0.14513540267944336,0.9467499852180481,9.999999747378752e-06
8,0.12538158893585205,0.9542986154556274,0.1397179514169693,0.9484999775886536,9.999999747378752e-06
9,0.11616461724042892,0.9584583044052124,0.16405092179775238,0.9419375061988831,9.999999747378752e-06
10,0.1075761467218399,0.9617708325386047,0.13574975728988647,0.9498124718666077,9.999999747378752e-06
11,0.09914319217205048,0.9649375081062317,0.1376364380121231,0.953000009059906,9.999999747378752e-06
12,0.08925341069698334,0.9688541889190674,0.13159970939159393,0.9536874890327454,9.999999747378752e-06
13,0.08233540505170822,0.9714027643203735,0.14216206967830658,0.9539374709129333,9.999999747378752e-06
14,0.07524699717760086,0.9740069508552551,0.1536586433649063,0.9476249814033508,9.999999747378752e-06
15,0.06713851541280746,0.9772083163261414,0.15704967081546783,0.9514999985694885,9.999999747378752e-06
16,0.060101840645074844,0.979729175567627,0.1650690734386444,0.9463750123977661,9.999999747378752e-06
17,0.05227840319275856,0.9824791550636292,0.15478743612766266,0.9499375224113464,9.999999747378752e-06
18,0.047713637351989746,0.9835346937179565,0.17559753358364105,0.9487500190734863,9.999999747378752e-06
19,0.04062289372086525,0.9865763783454895,0.16395513713359833,0.952750027179718,9.999999747378752e-06
